,Unnamed: 0,text,category
10,10, user net lead download  show british download net trend research viewer lead accord illegally  desperate show download globally housewife share pirate report web tracking easy year foot episode ben say bittorrent envisional company people coppin hour file new estimate downloader program typical programme increase appear firm  present television show usually country britain popular audience report coast case week wait series episode say watch knowledge late little people west coppin internet like miss new problem able fan programme month basic explain  digital present regularly favourite download broadcaster usually trend personal coin viewer search popularity analyst net concern challenge think contribute record important recorder episode store channel alter content global figure agree available video type advertisement watch click exact time difficult want automatically odd numerous people effectively create computer shift internet like concerned radically pin able describe way cut term box programme effect program tivo broadcast increase industry schedule  download share quickly process mean half film post record speed episode length upload digitise connection high people tend hour broadband short file network site  expansive online show download right later legal peer radio report net offer friend imp week line year choose distribution call phone interactive recommend cable help say connection run envisional want medium allow people player hear jupiter accord model trial fast air broadband base home miss consider day pick way fan look hold let broadcast programme research industry,tech
11,11, push put cash ibm linux  beef year spend software commitment ibm linux  powerful right software source technical linux step marketing boost phone ibm customer initiative help say take handheld server great type response fund computer cash injection money use device variety open research demand  application push premise mobile software source spending digit movement produce linux component innovation tool easy year announce connect workplace number fuel corporate big closely boost growth ibm customer element initiative tinker developer help say matter version main desktop reason focus advocate great late see suite scrutiny allow well computer free core base work use device money network way double program open collaboration business add worker staff,tech
12,12, service briton net feed  magazine reveal service conduct unhappy briton survey pro internet  bad try price future switch receive feed supplier speed big customer leave time high change particularly reader people internet join consider near service level slow news  expensive alternative operator tiscali try price hardly current make switch dissuade find offer magazine feed subscription think user danton phone low leap pro swap customer figure say actively leave interview reader people survey iceberg tim expect broadband editor provider worth cancel drop month tip  desperate stick vast -month carefully price current warn find come chance rip array break competitive supplier hugely voluntary danton need tie big pro swap customer package bewilder say help connection code unable advise people huge withhold survey contract tim internet information broadband editor new set problem service provider variety hold ofcom choice practice discover issue drop month shop,tech
13,13, law axe patent software face  patent software allow throw parliament european bill  scrap worthwhile software substantially tech consultation chance offer unanimously round need politician law patent say reject back bill draft protection research firm  plan keen umbrella comptia compromise polish earlier group monopoly hugo approve delay wording patent company reject computer american qualified property bill parliament benefit support system open business technology excess stifle win protect consideration source special passage movement public policy innovation committee abuse adopt progress proponent growth law rejection fail allow hamper draft practice month state european patenting right affairs avoid software twice legal debate lueders say organization opponent propose good interest troubled muddy obscure influential director mean exist prosper inventor majority adequately late intellectual juri invention firm mep wrong,tech
14,14, blogger action day call global  lend blogger imprison support action blog call community iranian global web  curt hope blogger protect thought february director clamp iran committee prison iranian ask focus website time blog prominent arash publish dedicate people saminejad free authority mojtaba day old tell hopkins site month opinion sigarchi news  blogsphere blogger include action light deem raise plight tank search situation mean community find group embassy committee think tuesday call iranian dissident help say take time blog awareness arash dedicate campaign worldwide track create free engine accord technorati cyber second list mojtaba shine day daily local phrase hopkins research writing add  curt blogger right protect human director commit mean hub count committee deputy fire aim petition start speech global simonetti ellen website particular flight attendant organisation international information bill support work hopkins freedom issue  blogger action man land focal future committee depend think publishing view point aim profit pundit say private blogging blog journalist organisation people platform cold thing operate kind weird like old constituency similar hopkins non issue month  blogsphere blogger thorny right country sack human personal situation attention case question receive concern record recently currently say employee want high medium blog publish highlight track profile restrict press anonymous issue site muddy  mum blogsphere blogger powerful test software get clamp community argument chance policy offer easy single templating conservative tomorrow earth start big global conversation say take person time company blog little publish well computer create essential minute new radical give way service use double look hopkins business court issue add month down expertise have messy difference explain,tech
15,15, digital film pioneers network  digital network world month establish cinema  digital drive art instal projector world copy selection definition equipment total mechanical award film alliance content portable currently aadc server mainly british screen high oversee computer contract capable display council fit give new set network use hard image double worth specialist cinema  say occur compression file size gigabyte aadc film lossless director associate visually original compress degradation picture terabyte deans fiona  clear scratch exactly unlock piracy individual movie time bit film look picture print key people quality degradation encrypt prevent cinema  digital benefit screening british network film documentary key foreign distribution increase language  digital stay word sheer show process employ projector success print specialised pete copy audience area build mean recoup separate determine buckingham mouth limited dean improve roar receive competitive screening access week resolution film central considerably book need distribution conclude currently say available explain london metropolitan screen head time send remain outside capable pixel twice cinema deans world council cost momentum give day restrict genuine network variety hold long choice technology traditional exhibition specialist order flexibility distributor,tech
16,16, security browser scare fix spark  browser version new work explorer microsoft internet web  security favourite test current tech competition concern rival bug microsoft call criminal say browser version far prompt savvy grow new revamp program vulnerable increase summer release  security announcement include handing software involve chairman spoof virus keynote explorer scant phishing microsoft spyware conference login speech criminal currently say account chief website identical detail scam people francisco information internet bill category san new set look hold rsa protection bank threat trick gates architect  regularly report earlier virus explorer nuisance microsoft rumour series website particular computer market accord google base widely new poise system successive mid- win opera technical hole produce year exploit need spyware figure bulletin see window internet expect poor firefox persistent estimate issue critical month security peak vary search current codename find user say browser use fan patch appear shore update release turn share follow fall websidestory end stat specialise visitor longhorn gather rival november bid anti fruit decision majority criminal gatherer version dominate close typically loophole engine operate acquisition maker old program small brand debut statistic firm,tech
17,17, intel breakthrough laser unveil  light soon move research speed chip mean datum unveil intel  product process light generate end silicon interconnect prevent overcome fundamental researcher easy exploit scientist breakthrough say data chip information amplify intel laser network problem decade appear  expensive haisheng rong liu light hak fang director material overcome equipment limit fundamental alexander cohen dani journal processor oded arsenide cable say currently mario continuous colleague optic nature computer amplify paniccia travel intel ansheng photonic jones laser exotic richard telecommunications technology lab gallium write fibre  generate silicon easy photon conductor high better crystalline chip computer errant new work electron telecommunications narrow structure frequency try amplifier process move technical material produce competency wide need element semi collide cloud away prefer send well create datum laser way long carry manufacturing validation amplification absorb fact result find step despite pass tune pulse cable say solve problem use distance sit turn fibre suck light area mean cheap rip component researcher improve form successfully integration atom range help volume close optic apply amplify paniccia intel maker filter firm,tech
18,18, home new old phone find  benefit environment old social mobile phone good  digital mobile divide forum collect mean future find handset nation need phone low help develop close life second poor cost old useful let research recycle site rot landfill  reveal discard lie mobile forum report future handset reach return year common phone equivalent swap slowly unrecycle goodman say approximately recycling mass tonne people adviser author james model grow new estimate use waste senior firm  barrier reveal keen mobile britain accept report recondition overseas friend handsets lease toxic take georgeta minciu better family keeping model date shiny second relatively new interesting useful prove cleaner real landfill wage buy crap popular material argument handset parent leak possible hand year wide need boost phone low goodman mountain far environmental send people hear tend poor social way look consumer ensure pay add site country enjoy world future normally user nation important touch potentially say daughter time particularly desire strong europe go network use romanian pre romania operator forum get price end mean affordability line fix want depth life old afford income single,tech
19,19, fear xbox power fire cable  say replace concern power microsoft safety xbox cable console  mainland affect region world hazard quarter report receive component step xboxe october minor preventative microsoft january fire damage cable say recall launch company few injury property europe sell faulty problem experience failure console firm  vice entertainment division burn cord follow inconvenience end cause xbox report centre limit case instance offer step despite xboxe turn week power user hand year minor preventative contain microsoft choose carpet damage customer cable responsible say president website replacement believe time advise rarity telephone robbie thing free incident expect home new bach failure smoke use consumer sustain senior statement add console beginning regret order release tip,tech
20,20, offer sun hour processing  rent service power launch sun allow require pay huge microsystems customer computing hour  development grid software electricity sun capacity power user liken buzz important call believe late company compute computing hour cost maintain storage phrase system worth commodity processing hardware  jonathan manager grid build electricity sun california centre water oil adopt financial buck customer say ask chief operating develop launch company compute event mature datum model webcast hour new interest utility network service use gas quarterly way officer system schwartz persuade industry  show process demonstration experiment sun simultaneously capacity book processor say server run want compute datum fold second protein work service problem schwartz hundred  premise test grid software argue house experiment sun cheap offer exist capacity rival power customer ibm say rely server take operating develop compute solaris hour second idle cost service use system initially worth demand ship own,tech
21,21, playstation unveil chip  san sony detail power chip francisco monday design playstation release console  sony special angeles audience current design report unveil film year graphic processor port conference los ibm workstation bridge video say time game toshiba chip directly supercomputer gap faster new movie use tell work exhibition effect technology console cell describe playstation  krewell television task different powerful consortium appear solid early report handle ideal year tune point inside conference emerge developer say server chief detail launch game chip francisco kevin international computer market capable supercomputer prototype expect core editor second calculation san work microprocessor float operation technology state processing cell playstation release circuit  digital show early current detailed future produce limit handle console form line film year graphic common processor architecture kutaragi ibm start workstation content say version chief server data converge launch medium game ken chip computer operate expect broadband near work network able officer machine generation refine demand add manufacture sony cell fuse plant,tech
22,22, help laser network gap bridge  help laser set network problem country voice telecommunications indian datum firm overcome turn  help link connection faster laser set customer work network location office tata month teleservices distance firm core cable bridge  vice task premise location lie roof get pair mean permission equipment layout form turn easy uniquely pulse put pipe traffic leap customer backbone final cable bridge heavy president say secure difficult particular bit far ground datum lightpointe core air route base mile chennai laser work network use beam road networking geography digging tata business lead distance sridharan dig impossible hardware voice  modest hope plan place expansion hardly march end struggle permission foggy climate ideal link reach aggressive competition rate pace week fog common period speed important town low suitable customer contrast cable bridge heavy say connection help ago run time far india little particularly datum broadband good route hour rain faster laser set maintain work city road tata firm month sridharan dig normal lay hardware,tech
23,23, audition game hold cast firm  bioware video member audition game hold open people cast firm future  character republic shopping make face nights performer come fee receive wide bring saturday knight choose piece video say invite company game canada identification people playing photo alberta west seek model base age old use image look variety friday neverwinter role edmonton mall appear  character incredible shauna perry generate external world live head detailed face bioware multiple participant hero ordinary need choose resource scan villain say take merchant person want game people control photo computer model like producer city interesting image audio village look hundred typical add appear dimension exactly,tech
24,24, digital divide global narrowing  digital poor rich divide bank world narrow nation accord fast report  digital incredible summit divide get usage world report spokesman question rate access nation past say rapidly develop far campaign close remain society people united information faster poor bank technology increase real  say half network access line mobile population fix world telephone report  hope widen wsis country mobile surpass trend world african eradicate report goal net rich catch access latin asian phone call rapid figure help say rollout develop campaign telephone worldwide apply american reform poor network term africa technology poverty european  digital meet wsis proposal country summit divide creation world collect address project percent community spokesman find come financing week contribution voluntary need solitary finance tuesday resource agree help say private available website exact develop fund meeting obtain society solidarity contract information base mechanism local day geneva tell provider service iron narrow technology real news,tech
25,25, tsunami warn website aid  website tell user avoid behalf scam collect victim cash tsunami net claim  fake generate tsunami plausible committee disaster webpage official dec contact say connection version late scam cash list old police use look long site emergency goodwill  bad mail register keen fake spam address attempt tsunami keep direct subject donate net circulate web handle domain link aware committee sanders disaster line think registrar confuse phishing urgent contain shortly decukorg official appeal shut dec unit start contact say help crime currently ago website run spelling scotland spokeswoman close people patricia computer characterise text poor wwwdecorguk day bear earthquake ownership read grammar hosting site romania firm yard message emergency  say cash push go company hand effort organisation dec official site host shut make donate  keen address report net come circulate relate virus microsoft appeal owner contact available grab website monthly scam large computer information claim support new work let instead open donation real hope include try spam move attempt tsunami supposedly link parent disaster possible january spyware shut publicly fail send netherlands people sophos way spread similar carry worm site news message aid mail find fee soon record say ask account fraud accompany load milk con route outlook money outpouring attachment lose obscure fake forward zar early hoax donate domain nigerian anti dec plunder solicit supply help inheritance promise cash sander pile style list familiar confidential cut program bank canvass firm goodwill,tech
26,26, alert get official site virus  security home problem service tell launch user government computer alerting rapid internet  security risk minded alert mail protect mobile safe government avoid affect scheme software simple deal cause involve advice virus aware blear easily million easy user weakness year need sign phone aim vulnerability clear say independent understand outbreak alarm time purpose previous people hazel computer effectively free signing text base home minister new estimate work tell service device use potential experience office small threat non damaging business issue ensure trouble technically warning  risk security related coordination alert employ safe mobile technical director cumming advice centre catch electronic user year national roger one number phone range help say understand spot time niscc send people large computer item home give use service way potential system hundred occasionally consumer issue infrastructure comb expertise firm message staff  stay security alert vendor include download protect affect avoid software get existence spokesman virus stress user bug dispense anti need fix vulnerability say run niscc close loophole people actually computer signing home firewall problem tell use service hold long program threat patch issue gadget trouble site alerting warning firm update secure  security fear alert government creation follow malicious existence circulate come virus citizen reach half access unprecedented national number top figure launch mark effort netherlands computer internet september hit cyber home waarschuwingsdienst estimate service able tell aka similar program threat statistic alerting household,tech
27,27, network mobile seek boost turbo  new deliver surf network service mobile generation exciting need internet fast  packet show operator mobile kilobit world bandwidth early current association standard downlink handset offer gigabit megabit access week german speed canne clinic evolution global say available focus time high company siemens typically datum shift fast second faster maker congress network service transmit motorola hold system hsdpa commercially technology compare infrastructure suppliers industry message  packet product operator super consultancy mobile solution report downlink access communication clip recently number speed call aim customer agree global video vital sierra wireless develop high company canada publish browsing market nokia internet accord like base analysys work service network jointly hsdpa profitable research technology  likely push operator conduct practical mobile region area edge report limit capacity rate megabit user wide single average record speed call low enhancement evolution theoretically maximum say data author datum implementation optimise trial real second alastair analysys opt network device wcdma double motorola hsdpa typical enable technology add compare basic cell brydon throughput outdoor  vice peak upgrade packet meet download operator development man end standard downlink equipment offer rate megabit deploy access adopt eventually year spend announce average valente speed lucent cingular multi customer nortel say president provide data sprint alongside wireless siemens late high oliver datum contract mmo fast broadband second base opt support expand network service motorola isle hsdpa technology demand summer ireland ericsson order germany  task flow plan mobile rise offer capacity multiple megabit power multimedia usual transmitting available band connection video president disappointing assess huge computer date trial broadband second faster work system instead business enable laboratory collaboration revenue technology voice likely antennae immediately frequency busy receive gigabit lucrative urgent connect need big phone today siemens away far send licence people anticipate datum internet device image potential generation pay slow division conservatively avoid reduce find mobility break user institute commercial field factor say time soup fast caselitz network geek applied different operator conduct radio early mean simultaneously rule communication transmission german speed sino dial sum christoph file fraunhofer debut lab firm,tech
28,28, march console hit sony  europe able playstation buy debut sony gamer news march portable  japan sony man enter sale nintendo play come offer century year format walkman unit handheld wireless spider game dominate disc umd market bill music sell support gaming movie machine console  entertainment fear japan nintendo march year unit kaz say president handheld time want launch game roughly computer core europe sell hirai gaming america device sony gamer release,tech
29,29, give rugby piero perspective  new work union tool unveil wales england saturday sport analysis match rugby piero  win cross scene forward argue fling end williams score come discussion wale pass week tool line die wales camp debate nation past opening picture validity leave shane england player sport winger match minute piero second stand new day ball fan incense  stadium italian precisely development passage viewer audience head play francesco position thompson innovation virtual pioneer graphic name perspective key bring fix telemetric inside appeal angle closely broadcasts need start order available camera video say great take definitive want detail answer medium send people outside throw sport create datum depth player information life track core grow piero della give new andrew work able fan ball system broadcast research technology signal analysis news wealth painter render client  tactic passage end play andy possible field say camera data individual story detail allow well player track model townsend piero tell look broadcast turn  entertainment different action show hope operator insight pitch viewer performance statistical normally virtual lift number replay length broadcasting say camera provide focus run individual time aspect detail company party game kick height player interested sport incident depth manipulate information townsend virtually piero sell interest give way lineout broadcast technology real analysis wealth,tech
30,30, slam patent source open leader  word patent week founder heat source open software microsoft attack linus lead war movement torvalds linux  alternative development summit kapor source software follow suit movement chairman california future community warn principle discussion fee come linux modify lawsuit microsoft programmer panel torvalds ibm foundation patent rely available say time company freely window allow mitchell licence attack expect base problem use open pay have mozilla  unleash kapor registered report think represent microsoft view series patent validity develop copyright company model trade member sutherland refer open wall instead business system worried push buy source movement era produce concern year point panel big comment softwareof knowledge far intellect way respect hold office treatment issue add industry totally software fact grant argue future discovery force corroborate economically jill choose important developer say spokeswoman superior directly dubious go problem able use court wield exist lawsuit course longer jeremy want intellectual license philpott body small afford,tech
31,31, law patent reboot order  base parliament committee new proposal union invention controversial govern computer order rule rewrite european  word setback affairs protect software source twice supporter gain legal implement directive offer innovation committee achieve lobbying favour abstain put national commission start critic law patent pressure say adoption fail reject meeting poland large juri computer suffer intend impact intense parliament submit momentum member draft use invention let small open protection effect immense issue firm state month voting back mep vocal  patenting fear action welcome proposal software shopping supporter legal mean play current directive chance hurt line financial debate method bring fight field decision developer law patent click serve say happen critic full company reading inefficient large computer opponent internet model permit concerned base europe new member example service draft amazoncom similar hold program business small court lead state implication,tech
32,32, deluge mail warning junk  online spam massive increase undergo expert circulate  sheer mail spam make warn group legitimate virus unchecked anti hide say server spot spamhaus send junk like drown novel hard go filter problem look program real message origin  fear steve manager collect address compromise cause harbour net circulate virus instance efficacy think mailer vulnerability server spot little kevin junk novel new failure service behalf open blacklist senior stop worried relay warning manage david know spam malicious attempt armoury link lot year recently contain exploit hide infect impractical send brightmail people grow home way look anonymous worm add message ability security subsidiary online mail premature place step catch infected start say rely response block spammer route predict problem use machine ciphertrust trick pump lose attachment origin technique trigger recruit get director end mean web hogan legitimate logical act help symantec ago circulation stanley spamhaus like linford appearance list filter program meltdown infrastructure firm,tech
33,33, security solution net fear  online mail fake story potential commerce phishing business bank theft damage expert net  security manage online seriously shopaholic protect scare dog personal fall affair report briton result net aware trust willing hand financial banking exploit vulnerability say take ask want particular company story little people counter survey information expert poll estimate way use commerce rsa bank threat worry confidence issue carry firm  security identity online reveal usability password protect manager place issuer username prevent find simply procedure necessary easily improve replace bar easy challenge think year authenticate measure method street beal extra big informed login customer balance card global say anymore sure type provide chocolate believe individual compromised detail develop party company website fraud people attack survey forget like good indemnify capgemini tell bank threat ensure overplay add complement barry news  identity desk online different password iris validate separate ideal token question document feed single average series biometric login scan hide say account resort well smartcard people computer survey like fingerprint remember work use way measurement rsa system write  security complex stay online steve try process generate deal come token access user method securely activcard passcode part currently employee website individual code time active monthly company automatically difficult ash identification people ascertain internet like second base trail physical network tell provider use service let generation rsa bank pay technology news aol  pda enter mobile generate expire instance scammer combine method usual adjust server website develop little chip assistant accord information second virtually prove system typical technology card specified know keystroke special personal build validate make clever possible year number need phone authorise fund change reader people transfer integrate match expect cost pin long carry impossible embed -bit security digital software username spoof user biometric crack passcode say provide happen time acceptable commonplace give predict use gadget unique secure explain present password alternative capture get solution end mean cheap question key customer code individual want bit active ash attack authentication kind like transaction bank widespread,tech
34,34, iran year blogger jails  weblogger revolutionary charge jail year foreign counter spy aid iranian  online blogger action right human edit area weblogs clamp reporter popularity report come iran access sentence newspaper arrest recently major gilan northern iranian secure revolutionary website blogging motjaba blog arash journalist saminejad criticise authority grow second day restrict watchdog hold court site month border sigarchi release  try reporter spokesman sentence call iranian president say khatami release organisation mohammed track authority work example press freedom harsh statement globe border describe sigarchi immediate secure  khomenei online include founder republic espionage label foreign radio crackdown current accuse farda retrial dissuade weblogg public iran ali sentence user arrest hand insult ayatollah lawyer call aim khamenei iranian contact crime ruhollah revolutionary illegal fund medium interview journalist islamic supreme internet authority leader give day service persian harsh incompetent court express state sigarchi string  case online blogger day action sentence defence campaign highlight world sigarchi  curt blogger protect february director resolve dent iran case visit committee sentence user focused designate help eye say website mullah campaign arash highlight people free join base mojtaba day go able tell spread blogosphere hopkins sigarchi news,tech
